Latitude;Longitude;Time;Date;Wind_Speed;Wind_Dir;Temp;RH;BP;Rain;SO2;PM10;PM2_5;PM10_PM2_5;CO;NO;NOx;NO2
50.55567416;30.26580471;00:00:00;2024-06-01;2.2;219.8;14.8;80.9;1006.6;0.0;4.59;0.0;0.0;0.0;0.67;2.68;1.2;-1.48
50.55567416;30.26580471;00:00:10;2024-06-01;2.21;219.91;14.8;80.95;1006.6;0.0;4.59;0.0;0.0;0.0;0.67;2.68;1.21;-1.47
50.55567416;30.26580471;00:00:20;2024-06-01;2.21;220.02;14.8;81.0;1006.6;0.0;4.6;0.0;0.0;0.0;0.67;2.68;1.21;-1.47
50.55567416;30.26580471;00:00:30;2024-06-01;2.22;220.13;14.8;81.05;1006.6;0.0;4.6;0.0;0.0;0.0;0.67;2.68;1.22;-1.46
50.55567416;30.26580471;00:00:40;2024-06-01;2.23;220.25;14.8;81.1;1006.6;0.0;4.6;0.0;0.0;0.0;0.67;2.68;1.23;-1.46
50.55567416;30.26580471;00:00:50;2024-06-01;2.23;220.36;14.8;81.15;1006.6;0.0;4.6;0.0;0.0;0.0;0.67;2.69;1.24;-1.45
50.55567416;30.26580471;00:01:00;2024-06-01;2.24;220.47;14.8;81.2;1006.6;0.0;4.61;0.0;0.0;0.0;0.67;2.69;1.24;-1.45
50.55567416;30.26580471;00:01:10;2024-06-01;2.25;220.58;14.8;81.25;1006.6;0.0;4.61;0.0;0.0;0.0;0.67;2.69;1.25;-1.44
50.55567416;30.26580471;00:01:20;2024-06-01;2.25;220.69;14.8;81.3;1006.6;0.0;4.61;0.0;0.0;0.0;0.66;2.69;1.26;-1.43
50.55567416;30.26580471;00:01:30;2024-06-01;2.26;220.81;14.8;81.35;1006.6;0.0;4.62;0.0;0.0;0.0;0.66;2.69;1.26;-1.43
50.55567416;30.26580471;00:01:40;2024-06-01;2.27;220.92;14.8;81.4;1006.6;0.0;4.62;0.0;0.0;0.0;0.66;2.69;1.27;-1.42
50.55567416;30.26580471;00:01:50;2024-06-01;2.27;221.03;14.8;81.45;1006.6;0.0;4.62;0.0;0.0;0.0;0.66;2.69;1.28;-1.42
50.55567416;30.26580471;00:02:00;2024-06-01;2.28;221.14;14.8;81.5;1006.6;0.0;4.62;0.0;0.0;0.0;0.66;2.69;1.28;-1.41
50.55567416;30.26580471;00:02:10;2024-06-01;2.29;221.25;14.8;81.55;1006.6;0.0;4.63;0.0;0.0;0.0;0.66;2.7;1.29;-1.4
50.55567416;30.26580471;00:02:20;2024-06-01;2.29;221.36;14.8;81.6;1006.6;0.0;4.63;0.0;0.0;0.0;0.66;2.7;1.3;-1.4
50.55567416;30.26580471;00:02:30;2024-06-01;2.3;221.47;14.8;81.65;1006.6;0.0;4.63;0.0;0.0;0.0;0.66;2.7;1.3;-1.39
50.55567416;30.26580471;00:02:40;2024-06-01;2.31;221.59;14.8;81.7;1006.6;0.0;4.64;0.0;0.0;0.0;0.66;2.7;1.31;-1.39
50.55567416;30.26580471;00:02:50;2024-06-01;2.31;221.7;14.8;81.75;1006.6;0.0;4.64;0.0;0.0;0.0;0.66;2.7;1.32;-1.38
50.55567416;30.26580471;00:03:00;2024-06-01;2.32;221.81;14.8;81.8;1006.6;0.0;4.64;0.0;0.0;0.0;0.66;2.7;1.33;-1.38
50.55567416;30.26580471;00:03:10;2024-06-01;2.33;221.92;14.8;81.85;1006.6;0.0;4.64;0.0;0.0;0.0;0.66;2.7;1.33;-1.37
50.55567416;30.26580471;00:03:20;2024-06-01;2.33;222.03;14.8;81.9;1006.6;0.0;4.65;0.0;0.0;0.0;0.66;2.7;1.34;-1.36
50.55567416;30.26580471;00:03:30;2024-06-01;2.34;222.15;14.8;81.95;1006.6;0.0;4.65;0.0;0.0;0.0;0.66;2.7;1.35;-1.36
50.55567416;30.26580471;00:03:40;2024-06-01;2.35;222.26;14.8;82.0;1006.6;0.0;4.65;0.0;0.0;0.0;0.66;2.71;1.35;-1.35
50.55567416;30.26580471;00:03:50;2024-06-01;2.35;222.37;14.8;82.05;1006.6;0.0;4.66;0.0;0.0;0.0;0.65;2.71;1.36;-1.35
50.55567416;30.26580471;00:04:00;2024-06-01;2.36;222.48;14.8;82.1;1006.6;0.0;4.66;0.0;0.0;0.0;0.65;2.71;1.37;-1.34
50.55567416;30.26580471;00:04:10;2024-06-01;2.37;222.59;14.8;82.15;1006.6;0.0;4.66;0.0;0.0;0.0;0.65;2.71;1.38;-1.33
50.55567416;30.26580471;00:04:20;2024-06-01;2.37;222.7;14.8;82.2;1006.6;0.0;4.66;0.0;0.0;0.0;0.65;2.71;1.38;-1.33
50.55567416;30.26580471;00:04:30;2024-06-01;2.38;222.81;14.8;82.25;1006.6;0.0;4.67;0.0;0.0;0.0;0.65;2.71;1.39;-1.32
50.55567416;30.26580471;00:04:40;2024-06-01;2.39;222.93;14.8;82.3;1006.6;0.0;4.67;0.0;0.0;0.0;0.65;2.71;1.4;-1.32
50.55567416;30.26580471;00:04:50;2024-06-01;2.39;223.04;14.8;82.35;1006.6;0.0;4.67;0.0;0.0;0.0;0.65;2.71;1.4;-1.31
50.55567416;30.26580471;00:05:00;2024-06-01;2.4;223.15;14.8;82.4;1006.6;0.0;4.67;0.0;0.0;0.0;0.65;2.71;1.41;-1.3
50.55567416;30.26580471;00:05:10;2024-06-01;2.41;223.26;14.8;82.45;1006.6;0.0;4.68;0.0;0.0;0.0;0.65;2.72;1.42;-1.3
50.55567416;30.26580471;00:05:20;2024-06-01;2.41;223.37;14.8;82.5;1006.6;0.0;4.68;0.0;0.0;0.0;0.65;2.72;1.42;-1.29
