Latitude;Longitude;Time;Date;Wind_Speed;Wind_Dir;Temp;RH;BP;Rain;SO2;PM10;PM2_5;PM10_PM2_5;CO;NO;NOx;NO2
50.43498;30.51743;00:00:00;2024-06-01;0.6;39.5;14.8;90.0;1006.1;0.0;4.21;60.14;22.3;37.83;1.7;2.58;1.73;-0.84
50.43498;30.51743;00:00:10;2024-06-01;0.6;39.61;14.8;90.0;1006.1;0.0;4.21;60.17;22.32;37.83;1.7;2.58;1.73;-0.84
50.43498;30.51743;00:00:20;2024-06-01;0.6;39.71;14.8;90.0;1006.1;0.0;4.2;60.19;22.35;37.83;1.7;2.58;1.74;-0.84
50.43498;30.51743;00:00:30;2024-06-01;0.61;39.82;14.8;90.0;1006.11;0.0;4.2;60.22;22.37;37.84;1.7;2.58;1.74;-0.83
50.43498;30.51743;00:00:40;2024-06-01;0.61;39.92;14.8;90.0;1006.11;0.0;4.19;60.24;22.4;37.84;1.7;2.58;1.74;-0.83
50.43498;30.51743;00:00:50;2024-06-01;0.61;40.03;14.8;90.0;1006.11;0.0;4.19;60.27;22.42;37.84;1.7;2.58;1.75;-0.83
50.43498;30.51743;00:01:00;2024-06-01;0.61;40.13;14.8;90.0;1006.11;0.0;4.18;60.3;22.44;37.84;1.7;2.58;1.75;-0.83
50.43498;30.51743;00:01:10;2024-06-01;0.61;40.24;14.8;90.0;1006.11;0.0;4.18;60.32;22.47;37.85;1.7;2.58;1.75;-0.82
50.43498;30.51743;00:01:20;2024-06-01;0.61;40.34;14.8;90.0;1006.11;0.0;4.17;60.35;22.49;37.85;1.7;2.59;1.76;-0.82
50.43498;30.51743;00:01:30;2024-06-01;0.62;40.45;14.8;90.0;1006.12;0.0;4.17;60.37;22.51;37.85;1.7;2.59;1.76;-0.82
50.43498;30.51743;00:01:40;2024-06-01;0.62;40.55;14.8;90.0;1006.12;0.0;4.16;60.4;22.54;37.85;1.7;2.59;1.76;-0.82
50.43498;30.51743;00:01:50;2024-06-01;0.62;40.66;14.8;90.0;1006.12;0.0;4.16;60.42;22.56;37.85;1.7;2.59;1.77;-0.81
50.43498;30.51743;00:02:00;2024-06-01;0.62;40.76;14.8;90.0;1006.12;0.0;4.15;60.45;22.59;37.86;1.7;2.59;1.77;-0.81
50.43498;30.51743;00:02:10;2024-06-01;0.62;40.87;14.8;90.0;1006.12;0.0;4.15;60.48;22.61;37.86;1.7;2.59;1.77;-0.81
50.43498;30.51743;00:02:20;2024-06-01;0.62;40.97;14.8;90.0;1006.12;0.0;4.14;60.5;22.63;37.86;1.7;2.59;1.78;-0.81
50.43498;30.51743;00:02:30;2024-06-01;0.63;41.08;14.8;90.0;1006.13;0.0;4.14;60.53;22.66;37.86;1.7;2.59;1.78;-0.81
50.43498;30.51743;00:02:40;2024-06-01;0.63;41.18;14.8;90.0;1006.13;0.0;4.13;60.55;22.68;37.86;1.7;2.59;1.78;-0.8
50.43498;30.51743;00:02:50;2024-06-01;0.63;41.29;14.8;90.0;1006.13;0.0;4.13;60.58;22.71;37.87;1.7;2.59;1.79;-0.8
50.43498;30.51743;00:03:00;2024-06-01;0.63;41.39;14.8;90.0;1006.13;0.0;4.12;60.61;22.73;37.87;1.7;2.59;1.79;-0.8
50.43498;30.51743;00:03:10;2024-06-01;0.63;41.5;14.8;90.0;1006.13;0.0;4.12;60.63;22.75;37.87;1.7;2.59;1.79;-0.8
50.43498;30.51743;00:03:20;2024-06-01;0.63;41.6;14.8;90.0;1006.13;0.0;4.11;60.66;22.78;37.87;1.7;2.59;1.8;-0.79
50.43498;30.51743;00:03:30;2024-06-01;0.64;41.71;14.8;90.0;1006.14;0.0;4.11;60.68;22.8;37.88;1.7;2.59;1.8;-0.79
50.43498;30.51743;00:03:40;2024-06-01;0.64;41.81;14.8;90.0;1006.14;0.0;4.1;60.71;22.82;37.88;1.7;2.59;1.8;-0.79
50.43498;30.51743;00:03:50;2024-06-01;0.64;41.92;14.8;90.0;1006.14;0.0;4.1;60.73;22.85;37.88;1.7;2.6;1.81;-0.79
50.43498;30.51743;00:04:00;2024-06-01;0.64;42.02;14.8;90.0;1006.14;0.0;4.09;60.76;22.87;37.88;1.7;2.6;1.81;-0.78
50.43498;30.51743;00:04:10;2024-06-01;0.64;42.13;14.8;90.0;1006.14;0.0;4.09;60.79;22.9;37.88;1.7;2.6;1.81;-0.78
50.43498;30.51743;00:04:20;2024-06-01;0.64;42.23;14.8;90.0;1006.14;0.0;4.08;60.81;22.92;37.89;1.7;2.6;1.82;-0.78
50.43498;30.51743;00:04:30;2024-06-01;0.65;42.34;14.8;90.0;1006.15;0.0;4.08;60.84;22.94;37.89;1.7;2.6;1.82;-0.78
